,Transaction_Amount,Account_Balance,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Is_Weekend,Transaction_Type_Bank_Transfer,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Location_Mumbai,Location_New_York,Location_Sydney,Location_Tokyo,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Discover,Card_Type_Mastercard,Card_Type_Visa,Authentication_Method_OTP,Authentication_Method_PIN,Authentication_Method_PW
11794,45.57,16812.76,0,0,8,435.37,0,43,4802.09,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1315,30.43,55987.51,0,0,1,264.13,3,207,1241.47,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
9740,92.63,48241.65,0,0,3,71.14,1,179,2021.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33910,83.35,18919.53,0,0,8,458.06,4,22,466.74,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1868,136.15,91596.61,0,0,1,245.79,0,47,1653.48,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40812,17.1,88855.95,0,0,9,183.13,2,65,4141.77,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
40666,16.99,83902.6,0,0,1,185.62,4,171,4770.22,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
17152,81.94,9204.21,0,1,10,231.99,2,149,3881.76,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
24653,33.47,93144.64,0,0,12,468.93,0,131,2957.67,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
36375,60.42,3082.19,0,0,5,370.84,4,185,3237.55,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
35383,189.17,53963.96,0,0,5,193.83,4,163,2692.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
40669,86.37,50461.32,0,0,5,379.94,1,117,376.75,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
36718,163.07,46993.64,0,0,4,420.14,3,131,2615.23,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
30145,165.6,94225.94,0,0,14,410.0,2,161,4386.61,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
16029,17.25,46525.07,0,0,9,461.52,1,239,1403.58,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
13711,259.05,27182.82,0,1,11,364.31,2,212,4358.49,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
38268,29.17,34824.06,0,0,3,88.35,1,123,4071.02,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
24829,349.64,26617.64,0,0,11,319.97,3,214,3074.93,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
42847,81.89,3126.25,0,0,10,87.01,1,136,4361.06,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
10351,12.99,90150.68,0,0,10,394.26,0,81,780.59,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48871,93.66,68888.64,0,0,10,95.98,3,80,1181.28,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
18589,87.47,23295.37,0,0,9,494.42,1,30,1821.9,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
11974,79.35,16015.76,0,0,11,245.27,3,53,4928.82,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
26489,76.81,50860.27,0,0,11,277.21,0,22,1526.87,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
19697,306.1,2196.13,0,0,5,138.41,3,11,2569.04,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
46,13.36,12122.23,0,0,6,363.3,0,159,142.32,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
44679,32.34,47033.98,0,0,11,103.8,1,69,2036.1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29669,4.49,14220.42,0,0,1,467.84,4,49,4590.94,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3832,261.5,47242.66,0,0,4,417.83,4,215,3613.3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23211,107.47,61047.68,0,0,8,294.85,0,195,1635.08,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4538,34.04,94682.44,0,0,13,121.86,2,19,2802.07,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
25497,50.81,40064.87,0,0,7,363.54,1,89,4738.24,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
43521,23.84,78318.29,0,0,9,498.51,3,236,3336.69,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2555,22.55,50004.49,0,0,2,206.55,2,206,2791.03,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
44742,65.52,99101.53,0,0,4,117.23,1,172,1629.24,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
35402,94.01,47248.54,0,0,13,29.33,1,166,4723.38,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2895,93.28,42785.82,0,0,10,435.7,3,120,4057.12,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
38694,146.49,19786.57,0,0,2,55.37,2,119,3494.64,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
22716,35.2,63566.75,0,0,3,222.26,3,3,2011.92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3556,3.82,85883.42,0,0,12,231.26,0,94,4313.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34295,11.47,12591.95,0,0,13,107.36,1,209,2361.33,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
23625,143.36,24174.64,0,1,14,484.34,0,155,68.98,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
41862,0.46,79747.65,0,0,3,221.87,3,116,4310.34,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
28457,1.23,62746.97,0,0,4,201.94,2,224,2360.59,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
29961,45.66,87533.6,0,0,8,252.51,3,20,68.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
27312,112.14,43976.61,1,0,5,34.6,4,157,4706.03,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
32006,148.32,5611.77,0,0,2,425.59,1,225,3958.14,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
17697,38.31,92649.75,0,0,5,480.45,4,134,1104.32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24747,18.99,18536.48,0,0,6,328.94,0,85,1046.8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
10184,51.33,7747.01,0,0,5,385.03,3,206,2143.35,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
30747,49.85,16035.99,0,0,6,289.64,0,36,525.34,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
10997,17.21,7152.72,0,0,11,24.03,2,152,3803.82,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3991,416.15,26063.71,0,0,11,302.39,1,75,773.85,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
1001,62.44,2232.97,0,1,5,376.73,4,31,1405.27,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
31234,57.29,19049.47,0,0,7,77.67,1,96,3710.01,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
27012,347.63,59356.01,0,0,9,324.72,0,132,4205.76,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
600,74.9,37608.26,0,0,4,289.52,4,68,3613.12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24853,195.94,30171.49,0,0,4,46.84,0,31,3351.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
12390,168.94,17575.11,0,0,9,183.41,3,123,2939.66,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
19588,236.36,51000.34,0,1,6,352.75,0,77,3402.42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29003,112.07,12521.5,0,0,7,79.53,0,53,370.85,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
14925,23.48,81095.79,0,1,9,196.53,0,68,59.45,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3966,95.7,5256.55,0,0,8,490.32,1,107,155.25,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
19715,95.01,48322.8,0,0,12,158.97,3,6,3240.4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
41546,4.17,29604.21,0,0,5,345.67,0,176,2726.25,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
47742,67.85,61595.5,0,1,3,249.46,4,60,1755.52,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
26823,96.19,1604.23,0,0,6,366.03,3,140,1684.79,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
529,18.97,22655.65,1,0,14,49.48,1,38,3013.81,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
5,168.55,33236.94,0,0,3,226.85,2,51,1725.64,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
17170,376.99,64373.1,0,0,1,218.2,0,14,4384.72,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
37985,174.63,40927.8,0,0,2,132.11,2,100,1024.08,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
28847,15.22,75026.98,0,0,4,29.82,2,121,259.58,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
35654,65.41,16270.34,0,0,2,188.64,3,123,3540.24,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
30998,61.43,6210.59,0,1,2,305.44,4,153,833.19,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
39526,11.86,34805.65,0,0,1,398.91,3,224,3446.04,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
43887,44.56,88114.8,0,0,9,29.74,4,4,1892.47,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
35894,109.07,49054.9,0,0,9,211.52,4,68,480.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5541,112.25,36861.88,0,0,2,126.72,3,138,4863.01,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13622,41.29,91243.17,0,1,3,366.22,2,54,4707.19,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
40920,80.49,85278.73,0,0,14,360.89,1,50,1562.07,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
24314,80.2,40745.66,0,0,5,385.29,4,236,3311.76,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
17499,116.79,90320.24,0,0,1,55.43,4,133,1701.31,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
13455,5.25,12693.05,0,0,10,285.56,1,197,1710.86,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
8036,24.7,35663.5,0,0,1,486.45,4,79,4074.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36348,323.34,5359.63,0,0,10,327.72,3,237,2147.76,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5466,239.44,88952.69,0,0,3,17.42,3,148,612.92,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35447,64.63,56285.33,0,0,13,256.97,0,131,133.68,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
4050,35.9,43623.59,0,1,9,425.36,1,195,3812.51,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
10078,12.29,93298.36,0,0,7,479.69,4,27,1325.61,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
43589,210.59,88821.97,0,0,6,335.61,4,188,4428.69,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
40569,299.61,80263.02,0,0,7,488.66,2,19,4701.74,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
15187,69.1,58539.2,0,0,1,163.04,2,59,1306.67,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
38833,184.06,99167.52,0,0,4,243.38,1,166,4729.73,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
13155,94.64,58289.25,0,0,11,366.47,4,147,3997.91,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3943,108.56,14125.18,0,0,6,490.89,3,81,48.87,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26832,271.1,76449.66,0,0,11,155.13,4,5,4526.6,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
25299,54.72,25405.07,0,0,8,399.66,0,81,1346.23,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
48880,185.37,46916.37,0,0,7,62.65,0,192,4218.07,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
32810,125.14,3684.28,0,0,11,444.69,0,132,421.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
26180,134.82,23445.96,0,0,9,186.84,0,7,4786.12,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
37137,2.63,91899.7,0,0,2,228.13,4,70,4745.13,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
45319,105.46,69384.0,0,0,14,103.65,0,31,2532.22,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
33849,63.71,46539.99,0,0,10,89.17,0,61,593.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
38942,193.18,80405.64,0,0,10,38.56,3,8,2849.66,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
32362,318.05,89994.5,0,0,8,303.65,2,32,3192.13,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
22280,23.26,52782.83,0,0,7,82.96,3,67,1117.79,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22934,24.01,47639.26,0,0,4,486.83,4,115,3734.29,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
40876,66.65,34425.97,0,0,3,249.61,1,67,1465.89,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
898,76.12,57950.37,0,1,6,438.47,1,118,2579.98,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
45790,3.95,57053.48,0,0,5,293.74,3,176,4558.84,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
34056,81.64,99381.07,0,0,11,378.45,2,101,3190.39,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
36851,159.46,2413.41,0,1,1,216.72,0,184,2295.22,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
5527,151.99,84388.49,0,0,12,236.27,4,194,752.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44637,19.44,62023.88,0,0,4,360.5,2,105,66.72,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
21302,216.5,856.7,0,0,1,390.02,3,209,3651.17,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
4265,7.9,74671.76,0,0,7,425.49,4,198,2767.14,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
11052,175.33,46221.14,0,0,14,267.68,1,172,4485.01,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
6107,83.86,52388.31,0,0,6,419.46,4,139,887.54,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
37905,21.41,9877.12,0,0,8,86.97,1,133,4832.06,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
22336,645.83,25620.04,0,0,3,388.22,3,17,3740.93,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
4497,154.28,61369.32,0,0,5,162.29,2,85,4702.07,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
12872,74.35,65910.83,1,0,14,278.76,2,39,4841.31,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
38472,64.92,29608.05,0,0,14,334.84,3,23,3819.21,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
25855,96.89,42367.98,0,0,12,293.55,0,150,2112.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5314,1.83,80110.9,0,0,6,284.07,3,155,2097.19,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
21651,217.91,15734.07,0,0,7,67.41,3,209,2849.59,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
41574,110.91,99096.1,1,0,13,401.44,0,164,3894.69,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
16588,98.15,90131.5,0,0,7,416.78,4,86,4473.65,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
28359,13.06,34659.73,0,0,3,244.85,1,9,744.84,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
46471,238.18,51180.51,0,0,8,161.99,0,134,4864.41,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
36196,59.39,32600.32,0,0,12,236.43,2,171,4885.4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
12811,216.96,36162.15,0,0,3,235.69,1,199,4815.08,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
26966,66.59,5114.75,0,0,10,52.8,0,150,4755.98,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
6937,36.4,3558.85,0,0,5,203.75,0,157,465.7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
46161,54.02,19826.92,0,0,10,38.78,1,17,2635.5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
18161,150.11,59959.64,0,0,1,346.33,0,178,856.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9749,75.17,3081.02,0,1,3,443.38,1,189,3365.07,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
48013,96.68,72517.03,0,0,9,321.15,2,148,4900.93,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
49883,38.36,81808.74,0,0,11,159.27,3,157,2639.39,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
19973,33.19,87460.14,0,0,11,483.3,1,26,2894.15,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
574,28.31,25742.5,0,0,7,270.54,2,185,4277.56,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34555,183.17,40509.34,0,0,13,97.76,1,4,2828.64,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
30432,160.43,63746.6,0,0,6,267.43,1,223,4483.43,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
41333,4.31,9829.87,0,0,9,258.77,1,54,3647.44,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
8941,38.16,27351.73,0,0,6,420.75,3,74,3775.69,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12212,14.02,42960.61,0,0,13,427.88,1,30,285.5,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
7088,3.01,94296.26,0,0,7,242.2,4,181,2956.64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29094,23.37,29099.09,0,0,2,388.76,2,12,1339.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
26733,2.08,81239.3,0,0,11,147.82,1,226,885.19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4787,94.26,97549.92,0,0,7,444.84,4,231,1723.47,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37339,18.34,21431.34,0,0,7,98.52,3,157,886.03,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
28375,102.58,44098.03,0,0,6,272.8,0,10,274.6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5475,314.57,52810.06,0,0,4,430.79,3,165,4546.96,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
30672,11.23,34281.61,0,1,4,231.22,4,188,4915.25,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
35642,29.1,89400.44,0,0,6,450.19,1,93,2456.4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
36775,62.5,18771.4,0,0,9,482.29,4,92,1534.6,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
11712,6.16,88551.55,0,0,2,227.16,4,189,4224.98,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
19556,91.78,93333.39,0,0,12,475.57,2,84,1530.38,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
11685,44.19,71566.47,0,0,12,155.28,2,164,852.32,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
28483,57.87,23814.86,0,0,7,219.54,4,201,3077.89,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26256,20.08,89852.97,0,0,14,353.08,1,79,1660.96,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
22022,79.23,9719.48,0,1,14,442.72,3,231,3558.36,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3976,30.56,32246.87,0,0,4,132.37,2,114,3139.98,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
40166,68.84,53173.17,0,0,11,108.7,3,166,2854.02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
44320,7.69,64852.42,0,0,7,210.22,0,179,422.73,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
32505,114.38,11936.92,0,0,14,456.8,0,96,114.95,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
41394,79.6,26693.32,0,1,12,261.98,1,111,3717.45,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4681,130.78,73593.56,0,0,13,31.88,2,72,4678.62,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
36313,64.05,70762.81,0,0,8,123.03,0,64,4415.68,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
32322,49.35,61842.29,0,1,8,281.48,0,192,3226.52,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
49686,4.66,10984.31,0,0,9,336.6,2,149,4047.37,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
34501,175.2,42136.46,0,0,14,479.71,0,27,3400.26,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
19738,32.8,61319.65,0,0,14,400.38,4,236,2146.07,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3126,259.28,44278.01,0,0,11,493.89,3,21,3777.03,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
550,188.36,29454.31,0,1,5,54.62,4,55,767.31,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
